Portfolio;Consolidated;;;;;;;
Valuation currency;CHF;;;;;;;
Base Currency;CHF;;;;;;;
Start Date;01.01.2024;;;;;;;
End Date;30.09.2024;;;;;;;
State / Time;Accounted;;;;;;;
;;;;;;;;
;;;;;;;;
Client No.;ISIN code;Description;Currency;Balance;"Price
(QC)";"Valuation + accr.
interest (CHF) ";"Valuation + accr.
interest (in QC)";"Weight, client position
(%) "
K00149ED;;CURRENT ACCOUNT IN GBP;GBP;1'830.58 ;1.13 ;2'071.26 ;1'830.58 ;0.07 
K00149ED;;CURRENT ACCOUNT IN EUR;EUR;95'761.48 ;0.94 ;90'153.69 ;95'761.48 ;3.04 
K00149ED;;INCOME TO BE RECEIVED IN USD;USD;43.72 ;0.84 ;36.88 ;43.72 ;0.00 
K00149ED;LU0646914142;ARCANO EUROP INC ESG BA;EUR;549.50 ;178.23 ;92'202.51 ;97'937.74 ;3.11 
K00149ED;IE00B96LYN04;MUZINICH AM H HDG EUR;EUR;816.92 ;122.64 ;94'319.54 ;100'186.46 ;3.18 
K00149ED;LU1901202363;DHARMARESEARCH DR GBL A;EUR;3'277.13 ;103.32 ;318'765.06 ;338'593.07 ;10.74 
K00149ED;LU1901202280;DHARMARESEARCH DR EQ A;EUR;4'238.45 ;168.98 ;674'271.83 ;716'213.28 ;22.72 
K00149ED;IE00BD08G390;MONTLAKE ALPHAQUEST INS €;EUR;1'102.53 ;97.15 ;100'838.30 ;107'110.71 ;3.40 
K00149ED;IE00BJCXFM61;MUZINICH GL S/DUR H HDG;EUR;627.68 ;105.77 ;62'502.03 ;66'389.82 ;2.11 
K00149ED;LU1912828099;SEGETIA LUX SWISS PROP C;CHF;1'410.93 ;145.21 ;204'882.87 ;204'882.87 ;6.90 
K06899YP;IE00B42Z5J44;ISHARES MSCI JPN EUR HDG;EUR;967.00 ;88.30 ;80'385.89 ;85'386.10 ;2.21 
K06899YP;JE00B1VS3770;WISDOMT.ETC-PHYSICAL GD $;USD;923.00 ;245.89 ;191'444.59 ;226'956.47 ;5.26 
K06899YP;IE00B0M62S72;ISHARES EURO DIVIDEND ETF;EUR;5'943.00 ;18.14 ;101'515.28 ;107'829.79 ;2.79 
K06899YP;US46434G7640;ISHS MSCI EM EX CHINA ETF;USD;760.00 ;61.11 ;39'176.57 ;46'443.60 ;1.08 
K06899YP;GB00B15KXV33;WISDOMT.ETC-CRUDE OIL IDX;USD;8'487.00 ;9.33 ;66'786.68 ;79'175.22 ;1.83 
K06899YP;GB00B57TMD12;LIONTRUST UK SM INSTIT;GBP;4'515.74 ;17.68 ;90'311.33 ;79'816.99 ;2.48 
K06899YP;LU1873128927;JPM LIQUIDITY LVNAV GBP C;GBP;33.70 ;11'096.43 ;423'078.93 ;373'916.40 ;11.61 
K06899YP;IE00B685HQ37;MUZINICH S/DUR HY HDG GBP;GBP;757.14 ;70.34 ;60'259.65 ;53'257.37 ;1.65 
K06899YP;US46090E1038;INVESCO QQQ TRUST I;USD;130.00 ;488.07 ;53'521.22 ;63'449.10 ;1.47 
K06899YP;US78462F1030;SPDR S&P500 TRUST UNIT S1;USD;528.00 ;573.76 ;255'543.43 ;302'945.28 ;7.02 
K06899YP;US78464A7634;SPDR TR S&P DIVIDEND ETF;USD;1'360.00 ;142.04 ;162'948.40 ;193'174.40 ;4.47 
K06899YP;IE0005042456;ISHARES CORE FTSE 100 ETF;GBP;9'957.00 ;7.99 ;90'050.31 ;79'586.30 ;2.47 
K06899YP;XD1301052019;QBERA TR FIN CGL SP#;USD;12.83 ;1'204.02 ;13'029.04 ;15'445.86 ;0.36 
K06899YP;US91282CHP95;1.424%US TREAS INFL JUL33  15.07.2033;USD;70'000.00 ;102.17 ;60'503.89 ;71'727.02 ;1.66 
K06899YP;;CURRENT ACCOUNT IN EUR;EUR;5'713.75 ;0.94 ;5'379.15 ;5'713.75 ;0.15 
K06899YP;;Sale EUR/GBP at 0.84196 No. 20130667 from 20.09.2024 until 20.12.2024 Fwd price today : 0.83511;GBP;492'546.60 ;1.13 ;557'306.63 ;492'546.60 ;15.30 
K06899YP;;CURRENT ACCOUNT IN USD;USD;4'733.47 ;0.84 ;3'992.82 ;4'733.47 ;0.11 
K06899YP;;CURRENT ACCOUNT IN AUD;AUD;342.43 ;0.59 ;200.39 ;342.43 ;0.01 
K06899YP;;CURRENT ACCOUNT IN GBP;GBP;86'368.32 ;1.13 ;97'724.03 ;86'368.32 ;2.68 
K06899YP;;INCOME TO BE RECEIVED IN USD;USD;852.61 ;0.84 ;719.20 ;852.61 ;0.02 
K06899YP;;Sale EUR/GBP at 0.84196 No. 20130667 from 20.09.2024 until 20.12.2024 Fwd price today : 0.83511;EUR;585'000.00-;0.94 ;552'772.50-;587'156.38-;15.17-
K06899YP;XD1117869309;QBERA TR FIN EARL IN 0421;USD;88.21 ;1'248.05 ;92'864.84 ;110'090.74 ;2.55 
K06899YP;VGG7238P1146;PRIMA CAPITAL FUND D;EUR;135.66 ;385.23 ;49'198.13 ;52'258.38 ;1.35 
K06899YP;LU1901202280;DHARMARESEARCH DR EQ A;EUR;3'132.00 ;168.98 ;498'252.75 ;529'245.36 ;13.68 
K06899YP;LU1901202363;DHARMARESEARCH DR GBL A;EUR;6'543.00 ;103.32 ;636'434.87 ;676'022.76 ;17.47 
K06899YP;LU1693257310;EUROPEAN SEC LEND A RAIF;EUR;2'707.23 ;134.57 ;342'977.83 ;364'311.94 ;9.42 
K06899YP;IE00BJCXFM61;MUZINICH GL S/DUR H HDG;EUR;627.68 ;105.77 ;62'502.03 ;66'389.82 ;1.72 
K06899YP;XD0427641663;ALPHAQUEST F EUR S070118;EUR;162.33 ;1'043.46 ;159'469.47 ;169'388.88 ;4.38 
